1.     Sei a conoscenza dell’esistenza dei Sustainable Developement Goals (obbiettivi di sviluppo sostenibile) delle Nazioni Unite?,"2.     Quanto ritieni importante la questione sostenibilità sociale, ambientale ed economica? Indicalo nella scala da 1 a 10 ",3.     Credi che la responsabilità di uno sviluppo sostenibile ricada più su:,4.     Indica quanto sei d’accordo con la seguente affermazione: “Realtà sostenibili ed incentrate sull’economia circolare sono essenziali per il raggiungimento di una realtà sostenibile”,5.     Vorresti essere più coinvolto nelle decisioni statali riguardanti normative sulla sostenibilità?,6.     [Se alla 5. hai risposto sì altrimenti passa alla prossima] Perché sì?,7. [Se alla 5. hai risposto no altrimenti passa alla prossima] Perché no?,8.     Pensi sia possibile essere in grado di gestire e sfruttare le risorse naturali entro il 2030 (riduzione dell'utilizzo delle risorse non sostenibili ed aumento di quelle sostenibili)?,9.     Indica quando sei d’accordo con la seguente affermazione: “penso che l’impegno delle multinazionali nell’adozione di pratiche sostenibili e nella sensibilizzazione in campo sostenibile sia essenziale”,10.     Pensi sia possibile ridurre in maniera sostanziale la produzione di rifiuti entro il 2030?,11.     Quanto è importante per te la riduzione dello spreco di alimenti nel raggiungimento di una società sostenibile?,12.     Indica quali dei seguenti obiettivi sono importanti nella battaglia al cambiamento climatico (risposta multipla),13.     Indica quanto sei d’accordo con la seguente affermazione: “è importante valorizzare e sostenere le piccole imprese di produzione alimentare (agricola e non)”,"14.     Quanto è importante per te l’implementazione di tecniche agricole che incrementino: la produzione per ettaro, la resilienza dell’ecosistema a disastri ecologici e la qualità dei terreni?",15.     Quando vai al supermercato quanto spesso pensi alla sostenibilità dei prodotti che acquisti?,16.     Che categoria di prodotti sostenibili acquisti normalmente? (risposta multipla),17.     Qual è il motivo per cui acquisti prodotti sostenibili?,18.     In una scala da 1 a 10 indica quanto è importante l’ecosostenibilità dei prodotti acquistati,19.     In una scala da uno a 10 indica quanto è importante l’estetica dei prodotti venduti,20.     Sei soddisfatt* dai prodotti sostenibili presenti al supermercato?," 
21.    [In caso di risposta negativa altrimenti passa alla prossima] qual è la ragione per cui non sei soddisfatt*?",22.     Che settore secondo te ha una varietà di prodotti troppo bassa?,23.     Che prodotti vorresti venissero aggiunti? ,"24.     Indica quanto sei d’accordo con la seguente affermazione “La trasparenza riguardo ai prodotti sostenibili è essenziale (provenienza, produttore, sostenibilità)”",25.     Indica quanto sei d’accordo con la seguente affermazione “I negozi sostenibili sono trasparenti riguardo alla sostenibilità e all’impatto ambientale dei loro prodotti”,26.     Che informazioni ritieni debbano essere date in aggiunta a quelle già fornite?,27.     Quale delle seguenti caratteristiche del negozio ritieni tra le più importanti? (risposta multipla),28.     Quanto influisce la posizione del negozio nelle tue decisioni di acquisto?,29.     Vorresti avere più informazioni riguardo alle iniziative sostenibili e ai negozi sostenibili nella tua zona?,30.     Come vorresti ricevere queste informazioni?,31.     Pensi che valga la pena di acquistare prodotti alimentari sostenibili?,32.     [Se hai risposto sì alla 31.] Perché sì?,33.     [Se hai risposto no alla 31.] Perché no?,34.     Qual è il tuo genere?,35.     Quanti anni hai?,36.     Qual è la tua occupazione?
Sì,10,Stato,D’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,Sì,10,Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Spesso,a. Verdure,La sostenibilità ambientale,9,7,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,Alternative vegetali alla carne ,D’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,9,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,18-30,Studente
Sì,10,Nessuna delle precedenti,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Sì,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Molto importante,Spesso,"a. Verdure;quando possibile prodotti riciclati, riciclabili, durevoli, a basso consumo o ridotto impatto ambientale : abbigliamento, lampadine, casalinghi, viaggi",La qualità dei prodotti venduti,8,8,Non molto,Il prezzo elevato dei prodotti offerti,,,D’accordo,In disaccordo,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,18-30,Studente
No,9,Stato,D’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,No,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Spesso,a. Verdure,Tutte le precedenti,8,3,No,Poca varietà di prodotti offerti,Verdure,,D’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Orari di apertura;Dimensione del negozio,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,44-56,Libero professionista
No,10,Stato,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Sì,Indifferente,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,D’accordo,Molto importante,Spesso,a. Verdure;Uova,La qualità dei prodotti venduti,10,6,Non molto,Poca varietà di prodotti offerti,Verdure,Un po’ di tutto,Molto d’accordo,In disaccordo,Informazioni riguardo alla provenienza,Disponibilità di parcheggio vicino,6,No,Via mail (nella newsletter),Sì,Perché sono di una qualità più alta,,Uomo,44-56,Libero professionista
Sì,10,Stato,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,No,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Importante,Spesso,a. Verdure;b. Carne,La sostenibilità ambientale,7,3,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,Pesce,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Orari di apertura;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,7,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Donna,57-69,Libero professionista
Sì,6,Stato,D’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,No,D’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Importante,Spesso,a. Verdure;b. Carne,La sostenibilità sociale,9,5,Non molto,Il prezzo elevato dei prodotti offerti,Verdure,,D’accordo,D’accordo,Informazioni riguardo al produttore,Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,4,Sì,Tramite i social network,Sì,Tutte le precedenti,,Uomo,44-56,Preferisco non specificare
Sì,10,Stato,D’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,No,D’accordo,No,8,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Indifferente,Molto importante,Ogni tanto,b. Carne;c. Latte e derivati,La sostenibilità ambientale,8,6,No,Poca varietà di prodotti offerti,Tutto,"Latticini, carne ",D’accordo,Molto in disaccordo,Informazioni riguardo al produttore,Dimensione del negozio;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Tramite i social network,Sì,Perché sono più naturali delle loro controparti non sostenibili,,Donna,18-30,Libero professionista
No,10,Aziende,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Sì,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Spesso,a. Verdure;b. Carne,La qualità dei prodotti venduti,10,5,Sì,,Gastronomia,Prodotti per la casa,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Orari di apertura;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,5,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,57-69,Disoccupato
No,8,Stato,D’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,No,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Importante,Spesso,a. Verdure;Frutta ,La qualità dei prodotti venduti,8,5,No,Il prezzo elevato dei prodotti offerti,Verdure,Pulizia casa,Molto d’accordo,Molto d’accordo,Informazioni riguardo alla sostenibilità,Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,4,Sì,Via mail (nella newsletter),Sì,Perché sono di una qualità più alta,,Uomo,57-69,Libero professionista
No,9,Cittadino,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Spesso,a. Verdure;c. Latte e derivati,La qualità dei prodotti venduti,8,1,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,Prodotti per single,Molto d’accordo,Molto d’accordo,Informazioni riguardo alla sostenibilità,Disposizione dei prodotti,1,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Uomo,57-69,Preferisco non specificare
Sì,8,Cittadino,D’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,Sì,D’accordo,Sì,8,Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Importante,Spesso,a. Verdure;b. Carne;c. Latte e derivati,La sostenibilità sociale,8,5,Non molto,Mancano dei prodotti che per me sono essenziali,Gastronomia,,D’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,44-56,Impiegato
Sì,8,Stato,Molto d’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,Non so,Molto d’accordo,Sì,8,Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Poco,Spesso,a. Verdure,La sostenibilità sociale,8,4,Non molto,,Gastronomia,Piatti pronti,D’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Raggiungibilità a piedi o con mezzi pubblici,7,No,,Sì,Tutte le precedenti,,Donna,57-69,Preferisco non specificare
No,10,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Molto importante,Ogni tanto,a. Verdure;Prodotti vegetariani,Tutte le precedenti,6,7,Non molto,Poca varietà di prodotti offerti,Gastronomia,,Molto d’accordo,In disaccordo,Informazioni riguardo al produttore,Disponibilità di parcheggio vicino;Orari di apertura,8,Sì,Via mail (nella newsletter),Sì,Perché sono più naturali delle loro controparti non sostenibili,,Donna,31-43,Impiegato
Sì,10,Cittadino,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Sì,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,Molto d’accordo,Molto importante,Spesso,Caffè e cioccolato,La sostenibilità sociale,10,5,Sì,Poca varietà di prodotti offerti,Verdure,Verdura e frutta,Molto d’accordo,Molto d’accordo,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,6,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,57-69,Impiegato
No,8,Stato,D’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,No,D’accordo,No,10,Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Raramente,a. Verdure,,8,7,Non molto,Il prezzo elevato dei prodotti offerti,Latte e derivati,,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Orari di apertura,7,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Uomo,57-69,Disoccupato
No,3,Stato,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Sì,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,Molto d’accordo,Molto importante,Spesso,a. Verdure;Frutta,La vicinanza del negozio sostenibile a casa,10,3,Non molto,Il prezzo elevato dei prodotti offerti,Pesce,Pesce fresco ,Molto d’accordo,D’accordo,Informazioni riguardo alla provenienza,Orari di apertura,10,Sì,Tramite volantini,Sì,Tutte le precedenti,,Donna,70-82,Preferisco non specificare
Sì,10,Stato,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Sì,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Importante,Spesso,a. Verdure,Tutte le precedenti,10,6,Non molto,Mancano dei prodotti che per me sono essenziali,Prodotti vegani ,Prodotti vegani e vegetariani,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Orari di apertura,6,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,44-56,Libero professionista
Sì,10,Stato,Indifferente,No,,Credo che per queste decisioni sia necessario un livello di conoscenze che il cittadino non ha;Credo che prima di aumentare il coinvolgimento si debba attuare una campagna di informazione per istruire i cittadini,No,D’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,D’accordo,Molto importante,Raramente,Cura della persona ,La qualità dei prodotti venduti,7,5,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,No idea,D’accordo,In disaccordo,Informazioni riguardo alla sostenibilità,Orari di apertura;Raggiungibilità a piedi o con mezzi pubblici,8,No,Tramite i social network,No,,Perché le qualità non giustificano un incremento del prezzo così grande,Donna,18-30,Studente
No,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Spesso,a. Verdure;,Tutte le precedenti,10,8,Non molto,,Gastronomia,,Molto d’accordo,Molto d’accordo,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Orari di apertura;Dimensione del negozio;Disposizione dei prodotti,9,Sì,Via mail (nella newsletter),Sì,Perché sono più naturali delle loro controparti non sostenibili,,Uomo,57-69,Impiegato
Sì,1,Nessuna delle precedenti,In disaccordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,No,Molto in disaccordo,No,3,,Indifferente,Poco,Raramente,,La qualità dei prodotti venduti,2,6,Non molto,,,,Molto d’accordo,In disaccordo,Informazioni riguardo al produttore,Disponibilità di parcheggio vicino;Disposizione dei prodotti,3,No,,Sì,Perché sono più naturali delle loro controparti non sostenibili,,Uomo,44-56,Impiegato
,,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,No,D’accordo,No,8,Sensibilizzazione del cittadino,D’accordo,Importante,Mai,a. Verdure,La qualità dei prodotti venduti,7,9,Non molto,,Gastronomia,Prodotti di salumeria,Indifferente,Indifferente,Informazioni riguardo alla provenienza,Disponibilità di parcheggio vicino;Disposizione dei prodotti,7,Sì,Tramite i social network,No,,Perché le qualità non giustificano un incremento del prezzo così grande,Donna,57-69,Preferisco non specificare
Sì,8,Cittadino,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Non so,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Sensibilizzazione del cittadino,Molto d’accordo,Molto importante,Sempre,a. Verdure;b. Carne,Tutte le precedenti,10,10,No,Mancano dei prodotti che per me sono essenziali,Verdure,,Molto d’accordo,D’accordo,Informazioni riguardo alla provenienza,Disponibilità di parcheggio vicino;Orari di apertura;Dimensione del negozio,10,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Donna,57-69,Libero professionista
